,0
0,1.0
1,0.5
2,0.33333334
3,0.25
4,0.2
5,0.16666667
6,0.14285715
7,0.125
8,0.11111111
9,0.1
10,0.09090909
11,0.083333336
12,0.07692308
13,0.071428575
14,0.06666667
15,0.0625
16,0.05882353
17,0.055555556
18,0.05263158
19,0.05
20,0.04761905
21,0.045454547
22,0.04347826
23,0.041666668
24,0.04
25,0.03846154
26,0.037037037
27,0.035714287
28,0.03448276
29,0.033333335
30,0.032258064
31,0.03125
32,0.030303031
33,0.029411765
34,0.028571429
35,0.027777778
36,0.027027028
37,0.02631579
38,0.025641026
39,0.025
40,0.024390243
41,0.023809524
42,0.023255814
43,0.022727273
44,0.022222223
45,0.02173913
46,0.021276595
47,0.020833334
48,0.020408163
49,0.02
50,0.019607844
51,0.01923077
52,0.018867925
53,0.018518519
54,0.018181818
55,0.017857144
56,0.01754386
57,0.01724138
58,0.016949153
59,0.016666668
60,0.016393442
61,0.016129032
62,0.015873017
63,0.015625
64,0.015384615
65,0.015151516
66,0.014925373
67,0.014705882
68,0.014492754
69,0.014285714
70,0.014084507
71,0.013888889
72,0.01369863
73,0.013513514
74,0.013333334
75,0.013157895
76,0.012987013
77,0.012820513
78,0.012658228
79,0.0125
80,0.012345679
81,0.0121951215
82,0.012048192
83,0.011904762
84,0.011764706
85,0.011627907
86,0.011494253
87,0.011363637
88,0.011235955
89,0.011111111
90,0.010989011
91,0.010869565
92,0.010752688
93,0.010638298
94,0.010526316
95,0.010416667
96,0.010309278
97,0.010204081
98,0.01010101
99,0.01
100,0.00990099
101,0.009803922
102,0.009708738
103,0.009615385
104,0.00952381
105,0.009433962
106,0.009345794
107,0.009259259
108,0.0091743115
109,0.009090909
110,0.009009009
111,0.008928572
112,0.0088495575
113,0.00877193
114,0.008695652
115,0.00862069
116,0.008547009
117,0.008474576
118,0.008403362
119,0.008333334
120,0.008264462
121,0.008196721
122,0.008130081
123,0.008064516
124,0.008
125,0.007936508
126,0.007874016
127,0.0078125
128,0.007751938
129,0.0076923077
130,0.007633588
131,0.007575758
132,0.007518797
133,0.0074626864
134,0.0074074073
135,0.007352941
136,0.00729927
137,0.007246377
138,0.007194245
139,0.007142857
140,0.0070921984
141,0.0070422534
142,0.006993007
143,0.0069444445
144,0.0068965517
145,0.006849315
146,0.006802721
147,0.006756757
148,0.0067114094
149,0.006666667
150,0.0066225166
151,0.0065789474
152,0.006535948
153,0.0064935065
154,0.006451613
155,0.0064102565
156,0.006369427
157,0.006329114
158,0.006289308
159,0.00625
160,0.0062111802
161,0.0061728396
162,0.006134969
163,0.0060975607
164,0.006060606
165,0.006024096
166,0.005988024
167,0.005952381
168,0.00591716
169,0.005882353
170,0.0058479533
171,0.0058139535
172,0.0057803467
173,0.0057471264
174,0.0057142857
175,0.0056818184
176,0.0056497175
177,0.0056179776
178,0.005586592
179,0.0055555557
180,0.005524862
181,0.0054945056
182,0.0054644807
183,0.0054347827
184,0.0054054055
185,0.005376344
186,0.0053475937
187,0.005319149
188,0.005291005
189,0.005263158
190,0.005235602
191,0.0052083335
192,0.005181347
193,0.005154639
194,0.0051282053
195,0.0051020407
196,0.005076142
197,0.005050505
198,0.0050251256
199,0.005
200,0.0049751243
201,0.004950495
202,0.0049261083
203,0.004901961
204,0.004878049
205,0.004854369
206,0.004830918
207,0.0048076925
208,0.004784689
209,0.004761905
210,0.0047393367
211,0.004716981
212,0.0046948357
213,0.004672897
214,0.004651163
215,0.0046296297
216,0.004608295
217,0.0045871558
218,0.00456621
219,0.0045454544
220,0.004524887
221,0.0045045046
222,0.004484305
223,0.004464286
224,0.0044444446
225,0.0044247787
226,0.004405286
227,0.004385965
228,0.0043668123
229,0.004347826
230,0.0043290043
231,0.004310345
232,0.0042918455
233,0.0042735045
234,0.004255319
235,0.004237288
236,0.004219409
237,0.004201681
238,0.0041841003
239,0.004166667
240,0.004149378
241,0.004132231
242,0.004115226
243,0.0040983604
244,0.0040816325
245,0.0040650405
246,0.004048583
247,0.004032258
248,0.004016064
249,0.004
250,0.003984064
251,0.003968254
252,0.0039525693
253,0.003937008
254,0.003921569
255,0.00390625
256,0.0038910506
257,0.003875969
258,0.0038610038
259,0.0038461538
260,0.0038314175
261,0.003816794
262,0.0038022813
263,0.003787879
264,0.003773585
265,0.0037593986
266,0.0037453184
267,0.0037313432
268,0.003717472
269,0.0037037036
270,0.003690037
271,0.0036764706
272,0.0036630037
273,0.003649635
274,0.0036363637
275,0.0036231885
276,0.0036101083
277,0.0035971224
278,0.0035842294
279,0.0035714286
280,0.0035587188
281,0.0035460992
282,0.003533569
283,0.0035211267
284,0.003508772
285,0.0034965035
286,0.0034843206
287,0.0034722222
288,0.0034602077
289,0.0034482758
290,0.0034364262
291,0.0034246575
292,0.0034129692
293,0.0034013605
294,0.0033898305
295,0.0033783785
296,0.0033670033
297,0.0033557047
298,0.0033444816
299,0.0033333334
300,0.003322259
301,0.0033112583
302,0.0033003301
303,0.0032894737
304,0.0032786885
305,0.003267974
306,0.0032573289
307,0.0032467532
308,0.003236246
309,0.0032258064
310,0.003215434
311,0.0032051282
312,0.0031948881
313,0.0031847134
314,0.0031746032
315,0.003164557
316,0.0031545742
317,0.003144654
318,0.0031347962
319,0.003125
320,0.0031152647
321,0.0031055901
322,0.0030959751
323,0.0030864198
324,0.003076923
325,0.0030674846
326,0.003058104
327,0.0030487804
328,0.0030395137
329,0.003030303
330,0.003021148
331,0.003012048
332,0.003003003
333,0.002994012
334,0.0029850747
335,0.0029761905
336,0.002967359
337,0.00295858
338,0.0029498525
339,0.0029411765
340,0.0029325513
341,0.0029239766
342,0.002915452
343,0.0029069767
344,0.0028985508
345,0.0028901733
346,0.0028818443
347,0.0028735632
348,0.0028653296
349,0.0028571428
350,0.0028490028
351,0.0028409092
352,0.0028328612
353,0.0028248588
354,0.0028169013
355,0.0028089888
356,0.0028011205
357,0.002793296
358,0.0027855153
359,0.0027777778
360,0.002770083
361,0.002762431
362,0.002754821
363,0.0027472528
364,0.002739726
365,0.0027322404
366,0.0027247956
367,0.0027173914
368,0.0027100272
369,0.0027027028
370,0.0026954177
371,0.002688172
372,0.0026809652
373,0.0026737968
374,0.0026666666
375,0.0026595744
376,0.0026525198
377,0.0026455026
378,0.0026385225
379,0.002631579
380,0.002624672
381,0.002617801
382,0.002610966
383,0.0026041667
384,0.0025974025
385,0.0025906735
386,0.0025839794
387,0.0025773195
388,0.002570694
389,0.0025641026
390,0.0025575447
391,0.0025510204
392,0.0025445293
393,0.002538071
394,0.0025316456
395,0.0025252525
396,0.0025188916
397,0.0025125628
398,0.0025062656
399,0.0025
400,0.0024937657
401,0.0024875621
402,0.0024813896
403,0.0024752475
404,0.002469136
405,0.0024630541
406,0.0024570024
407,0.0024509805
408,0.002444988
409,0.0024390244
410,0.00243309
411,0.0024271845
412,0.0024213076
413,0.002415459
414,0.0024096386
415,0.0024038462
416,0.0023980816
417,0.0023923444
418,0.002386635
419,0.0023809525
420,0.002375297
421,0.0023696683
422,0.0023640662
423,0.0023584906
424,0.002352941
425,0.0023474179
426,0.0023419203
427,0.0023364485
428,0.0023310024
429,0.0023255814
430,0.0023201855
431,0.0023148148
432,0.0023094688
433,0.0023041475
434,0.0022988506
435,0.0022935779
436,0.0022883294
437,0.002283105
438,0.0022779044
439,0.0022727272
440,0.0022675737
441,0.0022624435
442,0.0022573364
443,0.0022522523
444,0.002247191
445,0.0022421526
446,0.0022371365
447,0.002232143
448,0.0022271716
449,0.0022222223
450,0.0022172949
451,0.0022123894
452,0.0022075055
453,0.002202643
454,0.0021978023
455,0.0021929825
456,0.0021881838
457,0.0021834061
458,0.0021786492
459,0.002173913
460,0.0021691974
461,0.0021645022
462,0.0021598272
463,0.0021551724
464,0.0021505377
465,0.0021459227
466,0.0021413276
467,0.0021367522
468,0.0021321962
469,0.0021276595
470,0.0021231424
471,0.002118644
472,0.0021141649
473,0.0021097045
474,0.002105263
475,0.0021008404
476,0.002096436
477,0.0020920502
478,0.0020876827
479,0.0020833334
480,0.002079002
481,0.002074689
482,0.0020703934
483,0.0020661156
484,0.0020618557
485,0.002057613
486,0.0020533882
487,0.0020491802
488,0.0020449897
489,0.0020408162
490,0.00203666
491,0.0020325202
492,0.0020283975
493,0.0020242915
494,0.002020202
495,0.002016129
496,0.0020120724
497,0.002008032
498,0.002004008
499,0.002
500,0.001996008
501,0.001992032
502,0.0019880715
503,0.001984127
504,0.001980198
505,0.0019762847
506,0.0019723866
507,0.001968504
508,0.0019646366
509,0.0019607844
510,0.0019569471
511,0.001953125
512,0.0019493178
513,0.0019455253
514,0.0019417476
515,0.0019379845
516,0.001934236
517,0.0019305019
518,0.0019267823
519,0.0019230769
520,0.0019193857
521,0.0019157088
522,0.0019120459
523,0.001908397
524,0.0019047619
525,0.0019011407
526,0.0018975332
527,0.0018939395
528,0.0018903592
529,0.0018867925
530,0.0018832391
531,0.0018796993
532,0.0018761726
533,0.0018726592
534,0.0018691589
535,0.0018656716
536,0.0018621974
537,0.001858736
538,0.0018552876
539,0.0018518518
540,0.0018484289
541,0.0018450185
542,0.0018416207
543,0.0018382353
544,0.0018348624
545,0.0018315018
546,0.0018281536
547,0.0018248175
548,0.0018214936
549,0.0018181818
550,0.001814882
551,0.0018115942
552,0.0018083183
553,0.0018050541
554,0.0018018018
555,0.0017985612
556,0.0017953322
557,0.0017921147
558,0.0017889087
559,0.0017857143
560,0.0017825312
561,0.0017793594
562,0.001776199
563,0.0017730496
564,0.0017699115
565,0.0017667845
566,0.0017636684
567,0.0017605633
568,0.0017574693
569,0.001754386
570,0.0017513135
571,0.0017482517
572,0.0017452007
573,0.0017421603
574,0.0017391305
575,0.0017361111
576,0.0017331023
577,0.0017301039
578,0.0017271157
579,0.0017241379
580,0.0017211704
581,0.0017182131
582,0.0017152659
583,0.0017123288
584,0.0017094017
585,0.0017064846
586,0.0017035775
587,0.0017006802
588,0.0016977929
589,0.0016949152
590,0.0016920473
591,0.0016891892
592,0.0016863407
593,0.0016835016
594,0.0016806723
595,0.0016778524
596,0.0016750419
597,0.0016722408
598,0.001669449
599,0.0016666667
600,0.0016638935
601,0.0016611295
602,0.0016583748
603,0.0016556291
604,0.0016528926
605,0.0016501651
606,0.0016474464
607,0.0016447369
608,0.0016420361
609,0.0016393443
610,0.0016366612
611,0.001633987
612,0.0016313214
613,0.0016286644
614,0.0016260162
615,0.0016233766
616,0.0016207455
617,0.001618123
618,0.0016155089
619,0.0016129032
620,0.001610306
621,0.001607717
622,0.0016051364
623,0.0016025641
624,0.0016
625,0.0015974441
626,0.0015948963
627,0.0015923567
628,0.0015898251
629,0.0015873016
630,0.0015847861
631,0.0015822785
632,0.0015797789
633,0.0015772871
634,0.0015748031
635,0.001572327
636,0.0015698588
637,0.0015673981
638,0.0015649452
639,0.0015625
640,0.0015600624
641,0.0015576323
642,0.00155521
643,0.0015527951
644,0.0015503876
645,0.0015479876
646,0.001545595
647,0.0015432099
648,0.0015408321
649,0.0015384615
650,0.0015360983
651,0.0015337423
